c,R (5th July 2020),c/R,R (5th July 2020) (directly proportional to c),Peak date,Peak size,Current,Surge 1 (planned capacity),Surge 2 (planned + Nightingale),Peak date.1,Peak size.1,Current.1,Surge 1 (planned capacity).1,Surge 2 (planned + Nightingale).1
0,6.34673E-07,0,0,2020-07-04,54.2417,2300,2450,2900,2020-07-04,16.9813,275,420,860
0.02,0.00349995,5.714367348,0.003498117,2020-07-04,54.2417,2300,2450,2900,2020-07-04,16.9813,275,420,860
0.04,0.00699927,5.714881695,0.006996233,2020-07-04,54.2417,2300,2450,2900,2020-07-04,16.9813,275,420,860
0.06,0.0104986,5.715047721,0.01049435,2020-07-04,54.2417,2300,2450,2900,2020-07-04,16.9813,275,420,860
0.08,0.0139979,5.715142986,0.013992467,2020-07-04,54.2417,2300,2450,2900,2020-07-04,16.9813,275,420,860
0.1,0.0174972,5.715200146,0.017490583,2020-07-04,54.2417,2300,2450,2900,2020-07-04,16.9813,275,420,860
0.12,0.0209965,5.715238254,0.0209887,2020-07-04,54.2417,2300,2450,2900,2020-07-04,16.9813,275,420,860
0.14,0.0244958,5.715265474,0.024486817,2020-07-04,54.2417,2300,2450,2900,2020-07-04,16.9813,275,420,860
0.16,0.0279951,5.715285889,0.027984933,2020-07-04,54.2417,2300,2450,2900,2020-07-04,16.9813,275,420,860
0.18,0.0314944,5.715301768,0.03148305,2020-07-04,54.2417,2300,2450,2900,2020-07-04,16.9813,275,420,860
0.2,0.0349936,5.715330803,0.034981167,2020-07-04,54.2417,2300,2450,2900,2020-07-04,16.9813,275,420,860
0.22,0.0384929,5.715339712,0.038479283,2020-07-04,54.2417,2300,2450,2900,2020-07-04,16.9813,275,420,860
0.24,0.0419922,5.715347136,0.0419774,2020-07-04,54.2417,2300,2450,2900,2020-07-04,16.9813,275,420,860
0.26,0.0454915,5.715353418,0.045475517,2020-07-04,54.2417,2300,2450,2900,2020-07-04,16.9813,275,420,860
0.28,0.0489907,5.715370468,0.048973633,2020-07-04,54.2417,2300,2450,2900,2020-07-04,16.9813,275,420,860
0.3,0.05249,5.715374357,0.05247175,2020-07-04,54.2417,2300,2450,2900,2020-07-04,16.9813,275,420,860
0.32,0.0559893,5.71537776,0.055969867,2020-07-04,54.2417,2300,2450,2900,2020-07-04,16.9813,275,420,860
0.34,0.0594885,5.71539037,0.059467983,2020-07-04,54.2417,2300,2450,2900,2020-07-04,16.9813,275,420,860
0.36,0.0629878,5.715392505,0.0629661,2020-07-04,54.2417,2300,2450,2900,2020-07-04,16.9813,275,420,860
0.38,0.066487,5.715403011,0.066464217,2020-07-04,54.2417,2300,2450,2900,2020-07-04,16.9813,275,420,860
0.4,0.0699863,5.715404301,0.069962333,2020-07-04,54.2417,2300,2450,2900,2020-07-04,16.9813,275,420,860
0.42,0.0734855,5.715413245,0.07346045,2020-07-04,54.2417,2300,2450,2900,2020-07-04,16.9813,275,420,860
0.44,0.0769847,5.715421376,0.076958567,2020-07-04,54.2417,2300,2450,2900,2020-07-04,16.9813,275,420,860
0.46,0.080484,5.715421699,0.080456683,2020-07-04,54.2417,2300,2450,2900,2020-07-04,16.9813,275,420,860
0.48,0.0839832,5.7154288,0.0839548,2020-07-04,54.2417,2300,2450,2900,2020-07-04,16.9813,275,420,860
0.5,0.0874824,5.715435333,0.087452917,2020-07-04,54.2417,2300,2450,2900,2020-07-04,16.9813,275,420,860
0.52,0.0909816,5.715441364,0.090951033,2020-07-04,54.2417,2300,2450,2900,2020-07-04,16.9813,275,420,860
0.54,0.0944809,5.715440899,0.09444915,2020-07-04,54.2417,2300,2450,2900,2020-07-04,16.9813,275,420,860
0.56,0.0979801,5.7154463,0.097947267,2020-07-04,54.2417,2300,2450,2900,2020-07-04,16.9813,275,420,860
0.58,0.101479,5.715468225,0.101445383,2020-07-04,54.2417,2300,2450,2900,2020-07-04,16.9813,275,420,860
0.6,0.104978,5.715483244,0.1049435,2020-07-04,54.2417,2300,2450,2900,2020-07-04,16.9813,275,420,860
0.62,0.108478,5.715444606,0.108441617,2020-07-04,54.2417,2300,2450,2900,2020-07-04,16.9813,275,420,860
0.64,0.111977,5.715459425,0.111939733,2020-07-04,54.2417,2300,2450,2900,2020-07-04,16.9813,275,420,860
0.66,0.115476,5.715473345,0.11543785,2020-07-04,54.2417,2300,2450,2900,2020-07-04,16.9813,275,420,860
0.68,0.118975,5.715486447,0.118935967,2020-07-04,54.2417,2300,2450,2900,2020-07-04,16.9813,275,420,860
0.7,0.122474,5.7154988,0.122434083,2020-07-04,54.2417,2300,2450,2900,2020-07-04,16.9813,275,420,860
0.72,0.125974,5.715465096,0.1259322,2020-07-04,54.2417,2300,2450,2900,2020-07-04,16.9813,275,420,860
