c,R (5th July 2020),c/R,R (5th July 2020) (directly proportional to c),Peak date,Peak size,Current,Surge 1 (planned capacity),Surge 2 (planned + Nightingale),Peak date.1,Peak size.1,Current.1,Surge 1 (planned capacity).1,Surge 2 (planned + Nightingale).1
0,0.00034614,0,0,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.02,0.00387927,5.155609174,0.0035331,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.04,0.0074124,5.396362851,0.0070662,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.06,0.0109455,5.48170481,0.0105993,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.08,0.0144786,5.525396102,0.0141324,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.1,0.0180118,5.551915966,0.0176655,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.12,0.0215449,5.56976361,0.0211986,2020-07-04,43.2631,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.14,0.025078,5.582582343,0.0247317,2020-07-04,43.2631,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.16,0.0286111,5.592235181,0.0282648,2020-07-04,43.2631,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.18,0.0321442,5.599766054,0.0317979,2020-07-04,43.2631,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.2,0.0356773,5.605805372,0.035331,2020-07-04,43.2631,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.22,0.0392105,5.610742021,0.0388641,2020-07-04,43.2631,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.24,0.0427436,5.614875677,0.0423972,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.26,0.0462767,5.618378147,0.0459303,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.28,0.0498098,5.621383744,0.0494634,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.3,0.0533429,5.623991197,0.0529965,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.32,0.056876,5.626274703,0.0565296,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.34,0.0604091,5.628291102,0.0600627,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.36,0.0639422,5.63008467,0.0635958,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.38,0.0674753,5.631690411,0.0671289,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.4,0.0710084,5.633136361,0.070662,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.42,0.0745414,5.634452801,0.0741951,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.44,0.0780745,5.63564288,0.0777282,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.46,0.0816076,5.636729912,0.0812613,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.48,0.0851407,5.637726728,0.0847944,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.5,0.0886738,5.638644109,0.0883275,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.52,0.0922069,5.639491188,0.0918606,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.54,0.0957399,5.640281638,0.0953937,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.56,0.099273,5.641010144,0.0989268,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.58,0.102806,5.641694065,0.1024599,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.6,0.106339,5.64233254,0.105993,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.62,0.109872,5.642929955,0.1095261,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.64,0.113405,5.643490146,0.1130592,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.66,0.116938,5.644016487,0.1165923,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.68,0.120471,5.644511957,0.1201254,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.7,0.124004,5.644979194,0.1236585,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.72,0.127538,5.64537628,0.1271916,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.74,0.131071,5.645795027,0.1307247,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.76,0.134604,5.646191792,0.1342578,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.78,0.138137,5.646568262,0.1377909,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.8,0.14167,5.646925955,0.141324,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.82,0.145203,5.647266241,0.1448571,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.84,0.148736,5.647590361,0.1483902,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.86,0.152269,5.647899441,0.1519233,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.88,0.155802,5.648194503,0.1554564,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.9,0.159335,5.64847648,0.1589895,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.92,0.162868,5.648746224,0.1625226,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.94,0.166401,5.649004513,0.1660557,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.96,0.169934,5.649252063,0.1695888,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
0.98,0.173467,5.649489528,0.1731219,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1,0.177,5.649717514,0.176655,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.02,0.180533,5.649936577,0.1801881,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.04,0.184066,5.65014723,0.1837212,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.06,0.187599,5.650349949,0.1872543,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.08,0.191132,5.650545173,0.1907874,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.1,0.194665,5.650733311,0.1943205,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.12,0.198198,5.650914742,0.1978536,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.14,0.201731,5.651089818,0.2013867,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.16,0.205264,5.651258867,0.2049198,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.18,0.208797,5.651422195,0.2084529,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.2,0.21233,5.651580088,0.211986,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.22,0.215863,5.651732812,0.2155191,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.24,0.219396,5.651880618,0.2190522,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.26,0.222929,5.652023738,0.2225853,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.28,0.226462,5.652162394,0.2261184,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.3,0.229995,5.652296789,0.2296515,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.32,0.233528,5.652427118,0.2331846,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.34,0.237061,5.652553562,0.2367177,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.36,0.240594,5.652676293,0.2402508,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.38,0.244127,5.652795471,0.2437839,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.4,0.24766,5.652911249,0.247317,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.42,0.251193,5.653023771,0.2508501,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.44,0.254726,5.653133171,0.2543832,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.46,0.258259,5.653239577,0.2579163,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.48,0.261792,5.653343112,0.2614494,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.5,0.265325,5.65344389,0.2649825,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.52,0.268858,5.653542018,0.2685156,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.54,0.272391,5.653637602,0.2720487,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.56,0.275924,5.653730737,0.2755818,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.58,0.279457,5.653821518,0.2791149,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.6,0.28299,5.653910032,0.282648,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.62,0.286523,5.653996363,0.2861811,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.64,0.290056,5.654080591,0.2897142,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.66,0.293589,5.654162792,0.2932473,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.68,0.297122,5.654243038,0.2967804,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.7,0.300655,5.654321398,0.3003135,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.72,0.304188,5.654397938,0.3038466,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.74,0.307721,5.65447272,0.3073797,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.76,0.311254,5.654545805,0.3109128,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.78,0.314787,5.654617249,0.3144459,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.8,0.31832,5.654687107,0.317979,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.82,0.321853,5.654755432,0.3215121,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.84,0.325386,5.654822273,0.3250452,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.86,0.328919,5.654887678,0.3285783,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.88,0.332452,5.654951692,0.3321114,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.9,0.335984,5.655031192,0.3356445,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.92,0.339517,5.655092381,0.3391776,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.94,0.34305,5.65515231,0.3427107,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.96,0.346583,5.655211017,0.3462438,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
1.98,0.350116,5.65526854,0.3497769,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
2,0.353649,5.655324913,0.35331,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
2.02,0.357182,5.65538017,0.3568431,2020-07-04,43.2631,2300,2450,2900,2020-07-04,13.3434,275,420,860
2.04,0.360715,5.655434346,0.3603762,2020-07-04,43.2631,2300,2450,2900,2020-07-04,13.3434,275,420,860
2.06,0.364248,5.65548747,0.3639093,2020-07-04,43.2631,2300,2450,2900,2020-07-04,13.3434,275,420,860
2.08,0.367781,5.655539574,0.3674424,2020-07-04,43.2631,2300,2450,2900,2020-07-04,13.3434,275,420,860
2.1,0.371314,5.655590686,0.3709755,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
2.12,0.374847,5.655640835,0.3745086,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
2.14,0.37838,5.655690047,0.3780417,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
2.16,0.381913,5.655738349,0.3815748,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
2.18,0.385445,5.655800438,0.3851079,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
2.2,0.388978,5.65584686,0.388641,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
2.22,0.392511,5.655892446,0.3921741,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
2.24,0.396044,5.655937219,0.3957072,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
2.26,0.399577,5.6559812,0.3992403,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
2.28,0.40311,5.65602441,0.4027734,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
2.3,0.406643,5.656066869,0.4063065,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
2.32,0.410176,5.656108597,0.4098396,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
2.34,0.413709,5.656149612,0.4133727,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
2.36,0.417242,5.656189933,0.4169058,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
2.38,0.420774,5.656243019,0.4204389,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
2.4,0.424307,5.65628189,0.423972,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
2.42,0.42784,5.65632012,0.4275051,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
2.44,0.431373,5.656357723,0.4310382,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
2.46,0.434906,5.656394715,0.4345713,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
2.48,0.438439,5.656431111,0.4381044,2020-07-04,43.2631,2300,2450,2900,2020-07-04,13.3434,275,420,860
2.5,0.441972,5.656466926,0.4416375,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
2.52,0.445505,5.656502172,0.4451706,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
2.54,0.449038,5.656536863,0.4487037,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
2.56,0.45257,5.656583512,0.4522368,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
2.58,0.456103,5.656617036,0.4557699,2020-07-04,43.2631,2300,2450,2900,2020-07-04,13.3434,275,420,860
2.6,0.459636,5.656650045,0.459303,2020-07-04,43.2631,2300,2450,2900,2020-07-04,13.3434,275,420,860
2.62,0.463169,5.65668255,0.4628361,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
2.64,0.466702,5.656714563,0.4663692,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
2.66,0.470235,5.656746095,0.4699023,2020-07-04,43.263,2300,2450,2900,2020-07-04,13.3434,275,420,860
2.68,0.473768,5.656777157,0.4734354,2020-07-04,43.2627,2300,2450,2900,2020-07-04,13.3433,275,420,860
