c,R (5th July 2020),c/R,R (5th July 2020) (directly proportional to c),Peak date,Peak size,Current,Surge 1 (planned capacity),Surge 2 (planned + Nightingale),Peak date.1,Peak size.1,Current.1,Surge 1 (planned capacity).1,Surge 2 (planned + Nightingale).1
1.02,0.167369,6.094318542,0.166056,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.04,0.170623,6.095309542,0.169312,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.06,0.173877,6.096263451,0.172568,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.08,0.177131,6.097182311,0.175824,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.1,0.180386,6.098034216,0.17908,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.12,0.18364,6.098889131,0.182336,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.14,0.186894,6.099714277,0.185592,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.16,0.190149,6.100479098,0.188848,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.18,0.193403,6.101249722,0.192104,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.2,0.196657,6.101994844,0.19536,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.22,0.199912,6.102685181,0.198616,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.24,0.203166,6.10338344,0.201872,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.26,0.20642,6.104059684,0.205128,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.28,0.209674,6.104714938,0.208384,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.3,0.212929,6.105321492,0.21164,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.32,0.216183,6.105938025,0.214896,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.34,0.219437,6.106536272,0.218152,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.36,0.222692,6.107089613,0.221408,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.38,0.225946,6.107654041,0.224664,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.4,0.2292,6.108202443,0.22792,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.42,0.232454,6.108735492,0.231176,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.44,0.235709,6.109227904,0.234432,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.46,0.238963,6.109732469,0.237688,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.48,0.242217,6.110223477,0.240944,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.5,0.245471,6.110701468,0.2442,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.52,0.248726,6.111142382,0.247456,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.54,0.25198,6.111596158,0.250712,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.56,0.255234,6.112038365,0.253968,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.58,0.258488,6.112469438,0.257224,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.6,0.261743,6.112866438,0.26048,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.62,0.264997,6.113276754,0.263736,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.64,0.268251,6.113677116,0.266992,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
