,Date,Susceptible,Exposed,Infectious (symptomatic),Infectious (asymptomatic),Asymptomatic,Mild,Pre-hospital,Hospitalised (GA),Hospitalised (ICU),Recovered (asymptomatic),Recovered (mild),Discharged (cumulative),Deaths (cumulative),Recovered (all),Hospitalised (all),Discharged (daily),Deaths (daily),Total confirmed cases (rough equivalent),Effective beta,Beta,"Contacts, c",bcs,ker,R_t
223,2020-09-27,1875226.811381319,482.65887102148145,66.9497367241611,28.69275073206475,216.66910248433095,482.9660825772729,29.285435581111415,21.588506066634228,8.02411899744026,52611.5053519892,117274.58752772583,4167.6934115878485,1282.5677231935115,174053.78629130288,29.612625064074493,3.1129019132049507,0.5084774502599885,5479.873759845436,1.0247547638626742,0.17624965266595505,5.814222884199869,1921647.6082860185,7.329960404530735e-98,0.9413937226296373
224,2020-09-28,1875137.7106172051,477.6160477808752,66.25074679883897,28.39318355416646,214.4201473968222,477.95305111107143,28.98206584468094,21.366397052145096,7.942155560151616,52642.296954885765,117343.22352453714,4170.774159850061,1283.0709484232339,174156.29463927294,29.308552612296715,3.0807482622121825,0.5032252297223749,5483.153660885591,1.0247547638626742,0.17624965266595505,5.814222884199869,1921556.3018535287,2.696541737427567e-98,0.9413489926271066
225,2020-09-29,1875049.544516194,472.6224426009598,65.55856828982118,28.096535555337667,212.19282430423235,472.98823842514173,28.681598680077062,21.146373990787737,7.860953802521018,52672.76884221295,117411.14685962463,4173.823244138133,1283.5690021813205,174257.73894597573,29.007327793308757,3.049084288072663,0.49805375808659846,5486.399574112762,1.0247547638626742,0.17624965266595505,5.814222884199869,1921465.9532215064,9.920022674603233e-99,0.9413047318403386
226,2020-09-30,1874962.3038776803,467.67764746730376,64.87314496984854,27.80278263817615,209.98696067219532,468.07125993189874,28.384011220069624,20.928421157682063,7.780507101751659,52702.924093189074,117478.36439671728,4176.840963881296,1284.0619333730367,174358.12945378764,28.708928259433723,3.0177197431630702,0.4929311917162522,5489.611825513767,1.0247547638626742,0.17624965266595505,5.814222884199869,1921376.5529615872,3.6493723979410746e-99,0.9412609356504821
227,2020-10-01,1874875.979582471,462.7812549127162,64.1944206781997,27.511900733795954,207.80238388873627,463.20173087076313,28.089280549748402,20.712522699036235,7.700809056055371,52732.7657624934,117544.88294484535,4179.82761626656,1284.5497905343434,174457.4763236053,28.41333175509161,2.986652385263369,0.48785716130669243,5492.790738555996,1.0247547638626742,0.17624965266595505,5.814222884199869,1921288.091728835,1.3425290783810488e-99,0.9412175994795575
228,2020-10-02,1874790.562592845,457.9328583868711,63.52233937241378,27.22386582399419,205.63892151640783,458.3792668701871,27.797383798680972,20.498662846552413,7.621853642662261,52762.29687986358,117610.7092574431,4182.78349582731,1285.0326217630284,174555.78963313403,28.120516489214673,2.9558795607499633,0.4828312286849723,5495.936634079552,1.0247547638626742,0.17624965266595505,5.814222884199869,1921200.5602618004,4.938888471112317e-100,0.9411747187904846
229,2020-10-03,1874706.0439525521,453.1320522601478,62.856845128827956,26.938653941481423,203.4964012949112,453.6034839534949,27.508298141870345,20.28682591965479,7.543635219462728,52791.520450091484,117675.85003233934,4185.708894439044,1285.5104747179896,174653.07937686983,27.830461139117517,2.925398611734636,0.4778529549612358,5499.049830296151,1.0247547638626742,0.17624965266595505,5.814222884199869,1921113.9493825252,1.8169155307608785e-100,0.9411322890870835
230,2020-10-04,1874622.4147868142,448.378431823651,62.197882142580156,26.656241169882847,201.37465114110898,448.8739985389122,27.222000799759975,20.076996325501128,7.46614852501591,52820.439453023195,117740.3119117574,4188.604101319348,1285.9833966192318,174749.35546609998,27.543144850517034,2.8952068803037037,0.47292190124221634,5502.130642789096,1.0247547638626742,0.17624965266595505,5.814222884199869,1921028.2499965378,6.684058701120265e-101,0.9410903059140739
231,2020-10-05,1874539.6663023252,443.67159328921065,61.545394727609164,26.3766036437383,199.2734991490257,444.19042743956766,26.938469038233702,19.869158558982765,7.389388678549749,52849.05684355896,117804.1014823153,4191.469403027885,1286.4514342478658,174844.6277289021,27.258547237532518,2.8653017085371175,0.46803762863396514,5505.179384513284,1.0247547638626742,0.17624965266595505,5.814222884199869,1920943.4530928547,2.45892777972524e-101,0.9410487648570762
232,2020-10-06,1874457.7897872496,439.0111337893826,60.899327316654485,26.099717548502255,197.19277358984743,439.5523878634919,26.657680168615833,19.663297202724667,7.313351179960959,52877.37555165319,117867.22527502547,4194.30508346641,1286.9146339461095,174938.90591014508,26.97664838268563,2.8356804385248324,0.46319969824367035,5508.196365795206,1.0247547638626742,0.17624965266595505,5.814222884199869,1920859.5497439827,9.045889774862565e-102,0.9410076615426106
233,2020-10-07,1874376.7766112245,434.3966513774777,60.25962446126064,25.825559120545613,195.13230291193767,434.95949741365195,26.37961154767326,19.459396927087255,7.238031909810552,52905.39848231454,117929.68976529501,4197.111423878765,1287.3730416172878,175032.1996714883,26.69742883689781,2.8063404123549844,0.45840767117829273,5511.181894332951,1.0247547638626742,0.17624965266595505,5.814222884199869,1920776.5311059156,3.3277968752749048e-102,0.940966991638097
234,2020-10-08,1874296.6182253323,429.82774503329,59.626230832577676,25.554104647498782,193.09191574380273,430.411374094563,26.104240578032865,19.257442490522006,7.163427128456485,52933.128515608936,117991.50137293251,4199.888702851495,1287.826702725946,175124.51859139293,26.42086961897849,2.7772789727296185,0.4536611086582525,5514.136275196418,1.0247547638626742,0.17624965266595505,5.814222884199869,1920694.3884181087,1.2242280548082042e-102,0.9409267508518424
235,2020-10-09,1874217.3061568465,425.30401577433884,58.99909137666642,25.285330534811152,191.07144146948582,425.90763759486845,25.831544789155704,19.057418808564133,7.089533307791372,52960.56850725959,118052.66646348545,4202.637196432715,1288.275662319845,175215.87216717776,26.1469521163555,2.7484935812208278,0.44895959389896234,5517.059810868917,1.0247547638626742,0.17624965266595505,5.814222884199869,1920613.112998096,4.503683326692439e-103,0.9408869349304039
236,2020-10-10,1874138.8310645747,420.8252665671251,58.37817925376704,25.019225279725887,189.07081374126633,421.4481400222326,25.561516404505632,18.85932336553135,7.016316861035323,52987.72139658543,118113.19158884013,4205.357199517517,1288.719968986794,175306.27018494307,25.875640226566674,2.7200030848016468,0.4443066669489326,5519.952808730877,1.0247547638626742,0.17624965266595505,5.814222884199869,1920532.695273446,1.6568125054367565e-103,0.9408475391843538
