,Date,Susceptible,Exposed,Infectious (symptomatic),Infectious (asymptomatic),Asymptomatic,Mild,Pre-hospital,Hospitalised (GA),Hospitalised (ICU),Recovered (asymptomatic),Recovered (mild),Discharged (cumulative),Deaths (cumulative),Recovered (all),Hospitalised (all),Discharged (daily),Deaths (daily),Total confirmed cases (rough equivalent),Effective beta,Beta,"Contacts, c",bcs,ker,R_t
0,2020-01-14,2051898.7718281862,0.22068322439714905,0.935163052154007,0.005440969776044248,0.00017187400372390506,0.061226289215241855,0.003810608488352972,0.0001311894600762759,2.383725222252231e-05,4.267219287330615e-06,0.0015128189465282973,2.416955935886963e-06,1.266688470408167e-06,0.0015195031217515153,0.00015502671229879823,0.0,0.0,0.00015871035670509336,0.6822857474000003,0.06376502312149535,10.700000000000001,1399981.287125936,0.9333714188908269,3.4121373793610683
1,2020-01-15,2051898.162682991,0.7344316901064531,0.7873033061344883,0.07013717085082648,0.006587360066467676,0.2034651409722684,0.012071526137555195,0.0016590351820797969,0.00031046460606188215,0.0004486410470258328,0.0207577753523715,9.504549263690997e-05,4.985301282662886e-05,0.02130146189203424,0.001969499788141679,9.2628536701023e-05,4.858632435622069e-05,0.002114398293605218,0.6822857474000001,0.06376502312149533,10.699999999999998,1399980.8715148515,0.7641799242650633,3.4121363664031596
2,2020-01-16,2051897.5765255848,1.1354069243682012,0.686460562728273,0.18434023037252123,0.028545942842242725,0.30537721873680074,0.017275755902080567,0.004210599576900957,0.0008120576820617039,0.00319015574371083,0.05721334201069464,0.0004207560613495593,0.00022086910432666656,0.06082425381575502,0.005022657258962661,0.00032571056871264934,0.0001710160915000377,0.005664282424638886,0.6822857474000001,0.06376502312149533,10.7,1399980.4715880074,0.6256576050846112,3.412135391672036
3,2020-01-17,2051896.9604605373,1.4911387462451964,0.6211702731818666,0.3293749305509104,0.07132318126754682,0.378905493798561,0.02046013457895341,0.007191089197761062,0.0014311362588866072,0.010651372298790604,0.10627925388631869,0.0010580651946228126,0.0005557867298601582,0.11798869137973211,0.00862222545664767,0.0006373091332732533,0.0003349176255334916,0.010236077381130642,0.6822857474000001,0.06376502312149533,10.699999999999998,1399980.0512556056,0.5122451221809419,3.4121343672069853
4,2020-01-18,2051896.272072308,1.8499309334205003,0.5833828321578903,0.4949692431562993,0.13779463449091514,0.433719617561509,0.02242537570648523,0.010205825565701826,0.0020992754337973633,0.025812055267664984,0.16447251904618,0.0020420173546772595,0.0010733630191061547,0.19232659166852223,0.012305100999499188,0.0009839521600544469,0.0005175762892459966,0.015420481373282603,0.6822857474000001,0.06376502312149533,10.699999999999998,1399979.5815781283,0.41939083464373084,3.4121332224744867
5,2020-01-19,2051895.4801047996,2.239844726723927,0.5687781728457854,0.6794758786352854,0.22858068283247424,0.4768257083467711,0.023707559831931745,0.013067057155424333,0.0027791829018981797,0.052095542356584236,0.229600951904433,0.0033680904908238987,0.0017716466711093638,0.28506458475184115,0.015846240057322516,0.0013260731361466392,0.0006982836520032091,0.020985977219255776,0.6822857474000001,0.06376502312149533,10.699999999999998,1399979.041229985,0.3433681738818651,3.412131905498242
6,2020-01-20,2051894.5566785887,2.6802686177024717,0.5751435224765629,0.8854261241177093,0.3439682667403141,0.5135598596020864,0.02467956245363835,0.015708863650666906,0.0034532975142855817,0.09305256248701285,0.30040527845215964,0.005015390048267306,0.0026400665826331713,0.3984732309874398,0.019162161164952486,0.001647299557443407,0.0008684199115238074,0.026817617795852962,0.6822857474000001,0.06376502312149533,10.699999999999998,1399978.4111894423,0.2811260835853109,3.4121303699170844
7,2020-01-21,2051893.4723091705,3.188748162091754,0.6014201074610526,1.1171747605875695,0.48493220514135527,0.5483046741543761,0.025620585129141032,0.01813436626371211,0.004116369164194646,0.15230879293546704,0.3763048054286825,0.006959732580725081,0.0036662691729817637,0.5355733309448746,0.022250735427906756,0.0019443425324577749,0.0010262025903485924,0.032876737181613595,0.6822857474000001,0.06376502312149533,10.699999999999998,1399977.6713396434,0.2301665701236652,3.4121285667007295
8,2020-01-22,2051892.1888932062,3.7853130321181374,0.6476653925380951,1.38156853347747,0.6538151559457315,0.5851287788168074,0.026759850130704952,0.020408526714782143,0.004774616870242488,0.23423169315892184,0.4574249028650443,0.00917792607217719,0.004838385292015546,0.7008345220961434,0.025183143585024634,0.00221819349145211,0.0011721161190337824,0.039199454949217366,0.6822857474000001,0.06376502312149533,10.699999999999998,1399976.795683223,0.18844444929072451,3.4121264324864855
9,2020-01-23,2051890.6771976443,4.484561765829875,0.7144051245880965,1.6841469365219155,0.8528270500120827,0.6265941126758718,0.028231176360406684,0.02259351195872826,0.005436230288783538,0.3420490307796377,0.5441488706903802,0.011658153780872094,0.0061503927781821,0.89785605525089,0.028029742247511796,0.002480227708694903,0.0013120074861665536,0.045838288806565985,0.6822857474000001,0.06376502312149533,10.699999999999998,1399975.7642748863,0.15428526588116045,3.412123918662215
10,2020-01-24,2051888.8814623898,5.313697086208204,0.8034097827409236,2.0353514877708117,1.087080786445797,0.6765791198789572,0.030228824412851196,0.02479785197006298,0.0061188236748169035,0.481626965298718,0.6376452702139409,0.01439954324241121,0.007602068462746696,1.13367177875507,0.03091667564487988,0.0027413894615391163,0.0014516756845645963,0.05291828735003779,0.6822857474000001,0.06376502312149533,10.699999999999998,1399974.5390703168,0.12631809192371915,3.412120932503508
