c,R (5th July 2020),c/R,R (5th July 2020) (directly proportional to c),Peak date,Peak size,Current,Surge 1 (planned capacity),Surge 2 (planned + Nightingale),Peak date.1,Peak size.1,Current.1,Surge 1 (planned capacity).1,Surge 2 (planned + Nightingale).1
0,0.00153105,0,0,04/07/2020,65.1338,2300,2450,2900,04/07/2020,19.8229,275,420,860
0.02,0.00485833,4.116640903,0.003329117,04/07/2020,65.1338,2300,2450,2900,04/07/2020,19.8229,275,420,860
0.04,0.00818561,4.88662421,0.006658233,04/07/2020,65.1338,2300,2450,2900,04/07/2020,19.8229,275,420,860
0.06,0.0115129,5.21154531,0.00998735,04/07/2020,65.1338,2300,2450,2900,04/07/2020,19.8229,275,420,860
0.08,0.0148402,5.390762928,0.013316467,04/07/2020,65.1338,2300,2450,2900,04/07/2020,19.8229,275,420,860
0.1,0.0181674,5.504364961,0.016645583,04/07/2020,65.1338,2300,2450,2900,04/07/2020,19.8229,275,420,860
0.12,0.0214947,5.582771567,0.0199747,04/07/2020,65.1338,2300,2450,2900,04/07/2020,19.8229,275,420,860
0.14,0.024822,5.640157924,0.023303817,04/07/2020,65.1338,2300,2450,2900,04/07/2020,19.8229,275,420,860
0.16,0.0281493,5.683977932,0.026632933,04/07/2020,65.1338,2300,2450,2900,04/07/2020,19.8229,275,420,860
0.18,0.0314765,5.718551936,0.02996205,04/07/2020,65.1338,2300,2450,2900,04/07/2020,19.8229,275,420,860
0.2,0.0348038,5.746498946,0.033291167,04/07/2020,65.1338,2300,2450,2900,04/07/2020,19.8229,275,420,860
0.22,0.038131,5.769583803,0.036620283,04/07/2020,65.1338,2300,2450,2900,04/07/2020,19.8229,275,420,860
0.24,0.0414583,5.788949378,0.0399494,04/07/2020,65.1338,2300,2450,2900,04/07/2020,19.8229,275,420,860
0.26,0.0447856,5.805437462,0.043278517,04/07/2020,65.1338,2300,2450,2900,04/07/2020,19.8229,275,420,860
0.28,0.0481128,5.819657139,0.046607633,04/07/2020,65.1338,2300,2450,2900,04/07/2020,19.8229,275,420,860
0.3,0.0514401,5.832025988,0.04993675,04/07/2020,65.1338,2300,2450,2900,04/07/2020,19.8229,275,420,860
0.32,0.0547673,5.842902608,0.053265867,04/07/2020,65.1338,2300,2450,2900,04/07/2020,19.8229,275,420,860
