c,R (5th July 2020),c/R,R (5th July 2020) (directly proportional to c),Peak date,Peak size,Current,Surge 1 (planned capacity),Surge 2 (planned + Nightingale),Peak date.1,Peak size.1,Current.1,Surge 1 (planned capacity).1,Surge 2 (planned + Nightingale).1
0,0.000754803,0,0,2020-07-04,49.2595,2300,2450,2900,2020-07-04,15.3832,275,420,860
0.02,0.00425215,4.703502934,0.003498167,2020-07-04,49.2595,2300,2450,2900,2020-07-04,15.3832,275,420,860
0.04,0.00774949,5.161629991,0.006996333,2020-07-04,49.2595,2300,2450,2900,2020-07-04,15.3832,275,420,860
0.06,0.0112468,5.334850802,0.0104945,2020-07-04,49.2595,2300,2450,2900,2020-07-04,15.3832,275,420,860
0.08,0.0147442,5.425862373,0.013992667,2020-07-04,49.2595,2300,2450,2900,2020-07-04,15.3832,275,420,860
0.1,0.0182415,5.482005318,0.017490833,2020-07-04,49.2595,2300,2450,2900,2020-07-04,15.3832,275,420,860
0.12,0.0217388,5.520083905,0.020989,2020-07-04,49.2595,2300,2450,2900,2020-07-04,15.3832,275,420,860
0.14,0.0252362,5.547586404,0.024487167,2020-07-04,49.2595,2300,2450,2900,2020-07-04,15.3832,275,420,860
0.16,0.0287335,5.568413176,0.027985333,2020-07-04,49.2595,2300,2450,2900,2020-07-04,15.3832,275,420,860
0.18,0.0322308,5.584720206,0.0314835,2020-07-04,49.2595,2300,2450,2900,2020-07-04,15.3832,275,420,860
0.2,0.0357282,5.59781909,0.034981667,2020-07-04,49.2595,2300,2450,2900,2020-07-04,15.3832,275,420,860
0.22,0.0392255,5.608596449,0.038479833,2020-07-04,49.2595,2300,2450,2900,2020-07-04,15.3832,275,420,860
0.24,0.0427228,5.617609333,0.041978,2020-07-04,49.2595,2300,2450,2900,2020-07-04,15.3832,275,420,860
0.26,0.0462201,5.625258275,0.045476167,2020-07-04,49.2595,2300,2450,2900,2020-07-04,15.3832,275,420,860
0.28,0.0497175,5.631819782,0.048974333,2020-07-04,49.2595,2300,2450,2900,2020-07-04,15.3832,275,420,860
0.3,0.0532148,5.637529409,0.0524725,2020-07-04,49.2595,2300,2450,2900,2020-07-04,15.3832,275,420,860
0.32,0.0567121,5.642534838,0.055970667,2020-07-04,49.2595,2300,2450,2900,2020-07-04,15.3832,275,420,860
0.34,0.0602094,5.646958781,0.059468833,2020-07-04,49.2595,2300,2450,2900,2020-07-04,15.3832,275,420,860
0.36,0.0637067,5.650897001,0.062967,2020-07-04,49.2595,2300,2450,2900,2020-07-04,15.3832,275,420,860
0.38,0.0672041,5.654416918,0.066465167,2020-07-04,49.2595,2300,2450,2900,2020-07-04,15.3832,275,420,860
0.4,0.0707014,5.657596596,0.069963333,2020-07-04,49.2595,2300,2450,2900,2020-07-04,15.3832,275,420,860
0.42,0.0741987,5.660476531,0.0734615,2020-07-04,49.2595,2300,2450,2900,2020-07-04,15.3832,275,420,860
0.44,0.077696,5.663097199,0.076959667,2020-07-04,49.2595,2300,2450,2900,2020-07-04,15.3832,275,420,860
0.46,0.0811933,5.665492103,0.080457833,2020-07-04,49.2595,2300,2450,2900,2020-07-04,15.3832,275,420,860
0.48,0.0846906,5.667689212,0.083956,2020-07-04,49.2595,2300,2450,2900,2020-07-04,15.3832,275,420,860
0.5,0.0881879,5.669712058,0.087454167,2020-07-04,49.2595,2300,2450,2900,2020-07-04,15.3832,275,420,860
0.52,0.0916852,5.671580582,0.090952333,2020-07-04,49.2595,2300,2450,2900,2020-07-04,15.3832,275,420,860
0.54,0.0951825,5.673311796,0.0944505,2020-07-04,49.2595,2300,2450,2900,2020-07-04,15.3832,275,420,860
